id,key,value,type
46736242,lanes,4,regular
46736242,oneway,no,regular
46736242,highway,secondary,regular
46736242,surface,asphalt,regular
46736253,name,洪山侧路,regular
46736253,highway,secondary,regular
46736256,oneway,yes,regular
46736256,source,Yahoo,regular
46736256,highway,secondary,regular
46736260,highway,tertiary,regular
48278659,name,武汉长江二桥,regular
48278659,lanes,2,regular
48278659,layer,2,regular
48278659,bridge,viaduct,regular
48278659,oneway,yes,regular
48278659,highway,trunk,regular
48278659,zh,武汉长江二桥,name
48279143,name,才华街,regular
48279143,highway,secondary,regular
48279144,name,友谊大道,regular
48279144,oneway,yes,regular
48279144,highway,primary,regular
48279145,name,友谊大道,regular
48279145,oneway,yes,regular
48279145,highway,primary,regular
48629241,lit,yes,regular
48629241,name,水果湖横路,regular
48629241,lanes,4,regular
48629241,oneway,no,regular
48629241,highway,secondary,regular
48629241,surface,asphalt,regular
49775318,name,马场角路,regular
49775318,highway,tertiary,regular
49796217,boat,yes,regular
49796217,name,汉水,regular
49796217,en,Han Jiang,name
49796217,zh,汉水,name
49796217,alt_name,汉江,regular
49796217,waterway,river,regular
50083310,ref,G50 G70,regular
50083310,name,沪渝高速,regular
50083310,lanes,2,regular
50083310,oneway,yes,regular
50083310,source,GPS,regular
50083310,highway,motorway,regular
50083310,en,Huyu Expressway,name
50083311,name,三环线,regular
50083311,lanes,3,regular
50083311,oneway,yes,regular
50083311,source,GPS,regular
50083311,highway,motorway,regular
50083311,motorroad,yes,regular
50451973,name,球场路,regular
50451973,highway,tertiary,regular
50451973,en,Qiu Chang Road,name
50451973,zh,球场路,name
50538685,name,江汉桥,regular
50538685,lanes,3,regular
50538685,layer,1,regular
50538685,bridge,yes,regular
50538685,oneway,yes,regular
50538685,highway,trunk,regular
50538686,name,月湖,regular
50538686,natural,water,regular
50538694,oneway,yes,regular
50538694,highway,trunk_link,regular
50538703,layer,1,regular
50538703,bridge,yes,regular
50538703,oneway,yes,regular
50538703,highway,trunk_link,regular
50538704,oneway,yes,regular
50538704,highway,trunk_link,regular
50538707,name,龟山南路,regular
50538707,lanes,2,regular
50538707,oneway,yes,regular
50538707,highway,trunk,regular
50538708,oneway,yes,regular
50538708,highway,trunk_link,regular
50539694,name,月湖桥,regular
50539694,lanes,2,regular
50539694,layer,1,regular
50539694,bridge,suspension,regular
50539694,oneway,yes,regular
50539694,highway,primary,regular
50539698,oneway,yes,regular
50539698,highway,primary,regular
50539700,name,硚口路,regular
50539700,oneway,yes,regular
50539700,highway,primary,regular
50539704,name,硚口路,regular
50539704,oneway,yes,regular
50539704,highway,primary,regular
50539707,name,硚口路,regular
50539707,oneway,yes,regular
50539707,highway,primary,regular
50643250,name,龟山南路,regular
50643250,lanes,2,regular
50643250,oneway,yes,regular
50643250,highway,trunk,regular
50643251,name,红星美凯龙,regular
50643251,shop,mall,regular
50643251,building,yes,regular
50891988,name,马场路,regular
50891988,highway,tertiary,regular
50892004,name,马场角横路,regular
50892004,highway,residential,regular
50892005,name,高雄路,regular
50892005,highway,tertiary,regular
50892008,name,花莲里,regular
50892008,highway,living_street,regular
50892012,name,台北路,regular
50892012,highway,secondary,regular
50892017,name,北湖正街,regular
50892017,highway,pedestrian,regular
50892019,name,北湖路,regular
50892019,highway,residential,regular
50892021,name,北湖路,regular
50892021,highway,residential,regular
50892025,name,绿缘路,regular
50892025,highway,residential,regular
50892031,name,三眼桥北路,regular
50892031,highway,residential,regular
50892036,oneway,yes,regular
50892036,highway,secondary_link,regular
50892037,name,马场路,regular
50892037,oneway,yes,regular
50892037,highway,secondary_link,regular
50892039,name,香港路,regular
